Interval(sec);Bandwidth(Mbits/sec);Test
0.0-10.0;853;fim-a-fim
0.0-10.2;833;fim-a-fim
0.0-10.0;844;fim-a-fim
0.0-10.0;846;fim-a-fim
0.0-10.0;856;fim-a-fim
0.0-10.0;855;fim-a-fim
0.0-10.0;844;fim-a-fim
0.0-10.0;585;fim-a-fim
0.0-10.0;848;fim-a-fim
0.0-10.0;855;fim-a-fim
0.0-10.0;847;fim-a-fim
0.0-10.0;854;fim-a-fim
0.0-61.1;140;fim-a-fim
0.0-120.2;185;fim-a-fim
0.0-10.0;838;fim-a-fim
0.0-44.8;358;fim-a-fim
0.0-10.0;867;fim-a-fim
0.0-10.0;850;fim-a-fim
0.0-10.0;798;fim-a-fim
0.0-10.0;424;tunel
0.0-10.0;226;tunel
0.0-10.0;424;tunel
0.0-10.1;341;tunel
0.0-10.0;366;tunel
0.0-10.0;298;tunel
0.0-10.0;330;tunel
0.0-10.2;300;tunel
0.0-10.2;165;tunel
0.0-10.0;282;tunel
0.0-10.0;422;tunel
0.0-10.2;294;tunel
0.0-10.2;390;tunel
0.0-10.1;414;tunel
0.0-10.2;102;tunel
0.0-10.0;139;tunel
0.0-10.2;361;tunel
0.0-10.0;417;tunel
0.0-10.0;419;tunel
0.0-10.2;168;tunel
0.0-10.0;426;tunel
0.0-10.0;424;tunel
0.0-10.0;254;tunel
0.0-10.0;319;tunel
0.0-10.0;429;tunel
0.0-10.0;429;tunel
0.0-10.0;277;tunel
0.0-10.0;270;tunel
0.0-10.0;269;tunel
0.0-10.2;232;tunel
